Name,size,"time,sec","cpu,%","Mem,GB"
lapack_lu,500,0.03706,0.0,0.0
mkl_ch,500,0.07861,0.0,0.0
mkl_ch_clang,500,0.05949,0.0,0.0
lapack_qr_clang,500,0.03985,0.0,0.0
lapack_qr,500,0.04449,0.0,0.0
mkl_qr_clang,500,0.06731,0.0,0.0
mkl_lu_clang,500,0.06653,0.0,0.0
mkl_lu,500,0.0564,0.0,0.0
mkl_qr,500,0.07072,0.0,0.0
lapack_ch,500,0.01724,0.0,0.0
num_lu,500,0.0502,0.0,0.0
lapack_lu_clang,500,0.56784,3096.14,0.0
num_qr,500,0.71014,3096.55,0.0
num_ch,500,0.36551,3097.18,0.0
lapack_ch_clang,500,0.0162,0.0,0.0
