Время,Корректность
2.102923,True
2.191470,True
1.586773,True
1.761496,True
1.413051,True
1.922547,True
2.045557,True
1.548849,True
2.037915,True
1.931556,True
7.359971,True
7.200416,True
6.972879,True
7.351620,True
7.363097,True
8.102777,True
7.236146,True
7.410059,True
7.328240,True
8.518734,True
14.339214,True
13.176734,True
13.596202,True
12.446983,True
13.436024,True
13.389075,True
14.323478,True
14.790777,True
13.470704,True
16.292268,True
39.058945,True
32.701910,True
38.426154,True
34.047693,True
38.538940,True
39.753140,True
39.883828,True
34.210150,True
38.857180,True
33.538047,True
53.686721,True
62.847930,True
74.318084,True
71.444016,True
64.320813,True
71.283113,True
72.609263,True
70.773838,True
72.763085,True
68.938430,True
77.121620,True
77.085432,True
77.201864,True
77.637043,True
